t,ts,T_outside,price,pv_kw,base_load_kw,hvac,battery_cmd,action_raw_0,action_raw_1,T_inside,soc,reward,reward_fin,reward_comf,import_kwh,export_kwh,hvac_kw,battery_kw,pv_kw_seen,other_kw
900.0,2025-03-01 00:00:00,-0.9025,0.16737055555555558,0.0,0.154,-0.09706223011016846,0,-0.09706223011016846,0.319858193397522,22.522098003127276,0.5400157208367223,-1.070384865712219,-1.0700186244055592,-0.0003662413066598231,0.15982778763771058,0.0,0.4853111505508423,0.0,0.0,-0.154
1800.0,2025-03-01 00:15:00,-0.98,0.16417555555555557,0.0,0.2354,0.002048015594482422,1,0.002048015594482422,0.4386615753173828,22.29047104494664,0.5356135689017328,0.6285868651600841,-0.0,0.6285868651600841,0.0,0.0,0.01024007797241211,0.2456400779724121,0.0,-0.2354
2700.0,2025-03-01 00:30:00,-1.0525,0.15652388888888888,0.0,0.154,0.0478208065032959,1,0.0478208065032959,0.5012773275375366,22.156443172618985,0.5285686937670289,1.0306704821430446,1.7377642534831418e-17,1.0306704821430446,0.0,6.938893903907228e-18,0.2391040325164795,0.3931040325164795,0.0,-0.154
3600.0,2025-03-01 00:45:00,-1.125,0.1518077777777778,0.0,0.154,0.06896340847015381,1,0.06896340847015381,0.5694491863250732,22.03438136113036,0.5196293202481979,1.3968559166089172,1.685404902060681e-17,1.3968559166089172,0.0,6.938893903907228e-18,0.34481704235076904,0.49881704235076907,0.0,-0.154
4500.0,2025-03-01 01:00:00,-1.1975,0.14991333333333332,0.0,0.228,0.059293508529663086,1,0.059293508529663086,0.6815898418426514,21.89135322819139,0.5102302603441062,1.8259403154258251,-4.1609308591243155e-17,1.8259403154258251,6.938893903907228e-18,0.0,0.29646754264831543,0.5244675426483154,0.0,-0.228
5400.0,2025-03-01 01:15:00,-1.27,0.14963722222222225,0.0,0.1614,0.07477080821990967,1,0.07477080821990967,0.895124077796936,21.734857561498934,0.5006378940161573,2.295427315503197,-0.0,2.295427315503197,0.0,0.0,0.37385404109954834,0.5352540410995483,0.0,-0.1614
6300.0,2025-03-01 01:30:00,-1.3325,0.1444116666666667,0.0,0.154,0.04607367515563965,1,0.04607367515563965,0.8961054086685181,21.56920128383162,0.4937495718695946,2.792396148505137,1.603291573578266e-17,2.792396148505137,0.0,6.938893903907228e-18,0.23036837577819824,0.38436837577819827,0.0,-0.154
7200.0,2025-03-01 01:45:00,-1.395,0.14246444444444445,0.0,0.1984,0.036258578300476074,1,0.036258578300476074,0.9143221378326416,21.384565821324358,0.4869450397638172,3.346302536026925,1.581673064126537e-17,3.346302536026925,0.0,6.938893903907228e-18,0.18129289150238037,0.3796928915023804,0.0,-0.1984
8100.0,2025-03-01 02:00:00,-1.4575,0.14136333333333334,0.0,0.191,0.04927563667297363,1,0.04927563667297363,0.964324951171875,21.23424359938804,0.47910672106552205,3.797269201835878,-0.0,3.797269201835878,0.0,0.0,0.24637818336486816,0.43737818336486817,0.0,-0.191
9000.0,2025-03-01 02:15:00,-1.52,0.14237833333333333,0.0,0.154,0.03881871700286865,1,0.03881871700286865,0.9667304754257202,21.08639688617723,0.4728684847749424,4.24080934146831,1.5807170387442207e-17,4.24080934146831,0.0,6.938893903907228e-18,0.19409358501434326,0.3480935850143433,0.0,-0.154
