t,T_inside,T_outside,soc,kwh_used,hvac,battery,electricity
82.0,29.999997428255554,30.0,0.5,0.0,0.0,0,0.0
83.0,29.999997856879627,30.0,0.5,0.0,0.0,0,0.0
84.0,29.999998214066355,30.0,0.5,0.0,0.0,0,0.0
85.0,29.999998511721962,30.0,0.5,0.0,0.0,0,0.0
86.0,29.999998759768303,30.0,0.5,0.0,0.0,0,0.0
87.0,29.999998966473587,30.0,0.5,0.0,0.0,0,0.0
88.0,29.99999913872799,30.0,0.5,0.0,0.0,0,0.0
89.0,29.999999282273325,30.0,0.5,0.0,0.0,0,0.0
90.0,29.99999940189444,30.0,0.5,0.0,0.0,0,0.0
91.0,29.9999995015787,30.0,0.5,0.0,0.0,0,0.0
92.0,29.999999584648915,30.0,0.5,0.0,0.0,0,0.0
93.0,29.999999653874095,30.0,0.5,0.0,0.0,0,0.0
94.0,29.999999711561745,30.0,0.5,0.0,0.0,0,0.0
95.0,29.83999975963479,30.0,0.5,0.0001666666666666667,-0.2,0,0.0001666666666666667
96.0,29.706666466362325,30.0,0.5,0.0003333333333333334,-0.2,0,0.0001666666666666667
97.0,29.595555388635272,30.0,0.5,0.0005,-0.2,0,0.0001666666666666667
98.0,29.502962823862728,30.0,0.5,0.0006666666666666668,-0.2,0,0.0001666666666666667
99.0,29.42580235321894,30.0,0.5,0.0008333333333333335,-0.2,0,0.0001666666666666667
100.0,29.361501961015783,30.0,0.5,0.0010000000000000002,-0.2,0,0.0001666666666666667
101.0,29.307918300846485,30.0,0.5,0.001166666666666667,-0.2,0,0.0001666666666666667
102.0,29.343265250705404,30.0,0.5,0.0012500000000000002,-0.1,0,8.333333333333334e-05
103.0,29.612721042254503,30.0,0.5,0.001416666666666667,0.2,0,0.0001666666666666667
104.0,29.997267535212085,30.0,0.5,0.0017500000000000003,0.4,0,0.0003333333333333334
105.0,30.39772294601007,30.0,0.5,0.002166666666666667,0.5,0,0.00041666666666666664
106.0,30.731435788341724,30.0,0.5,0.0025833333333333337,0.5,0,0.00041666666666666664
107.0,31.009529823618102,30.0,0.5,0.0030000000000000005,0.5,0,0.00041666666666666664
108.0,31.241274853015085,30.0,0.5,0.0034166666666666672,0.5,0,0.00041666666666666664
109.0,31.434395710845905,30.0,0.5,0.003833333333333334,0.5,0,0.00041666666666666664
110.0,31.595329759038254,30.0,0.5,0.00425,0.5,0,0.00041666666666666664
111.0,31.72944146586521,30.0,0.5,0.004666666666666667,0.5,0,0.00041666666666666664
112.0,31.841201221554343,30.0,0.5,0.005083333333333334,0.5,0,0.00041666666666666664
113.0,31.934334351295284,30.0,0.5,0.0055000000000000005,0.5,0,0.00041666666666666664
114.0,32.01194529274607,30.0,0.5,0.005916666666666667,0.5,0,0.00041666666666666664
115.0,31.91662107728839,30.0,0.5,0.0061666666666666675,0.3,0,0.00024999999999999995
116.0,31.117184231073658,30.0,0.5,0.006666666666666667,-0.6,0,0.0004999999999999999
117.0,30.45098685922805,30.0,0.5,0.007166666666666667,-0.6,0,0.0004999999999999999
118.0,29.895822382690042,30.0,0.5,0.007666666666666666,-0.6,0,0.0004999999999999999
119.0,29.433185318908368,30.0,0.5,0.008166666666666666,-0.6,0,0.0004999999999999999
120.0,29.04765443242364,30.0,0.5,0.008666666666666666,-0.6,0,0.0004999999999999999
121.0,28.726378693686367,30.0,0.5,0.009166666666666667,-0.6,0,0.0004999999999999999
122.0,28.458648911405305,30.0,0.5,0.009666666666666667,-0.6,0,0.0004999999999999999
123.0,28.23554075950442,30.0,0.5,0.010166666666666668,-0.6,0,0.0004999999999999999
124.0,28.049617299587016,30.0,0.5,0.010666666666666668,-0.6,0,0.0004999999999999999
125.0,27.89468108298918,30.0,0.5,0.011166666666666668,-0.6,0,0.0004999999999999999
126.0,27.76556756915765,30.0,0.5,0.011666666666666669,-0.6,0,0.0004999999999999999
127.0,27.65797297429804,30.0,0.5,0.01216666666666667,-0.6,0,0.0004999999999999999
128.0,27.568310811915033,30.0,0.5,0.01266666666666667,-0.6,0,0.0004999999999999999
